net_income,op_profit_loss,trans_rev_pax,prop_freight,prop_bag,res_cancel_fees,misc_op_rev,trans_revenue,op_revenues,flying_ops,maintenance,pax_service,aircft_services,general_admin,deprec_amort,trans_expenses,op_expenses,income_pre_tax,airline_id,unique_carrier,unique_carrier_name,carrier_name,unique_carrier_entity,region,year,quarter
4501.51,10674.87,83117.93,80.71,16482.4,2236.84,874.21,1339.24,149033.55,58016.69,15350.67,8009.29,23038.16,14952.62,8715.33,789.86,138358.68,6113.63,20422,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,06795,D,2019,4
5354.75,7639.17,209215.06,0,0,0,0.82,0,209215.88,114075.57,43146.21,16373.24,7351.98,15721.82,4907.89,0,201576.71,7113.82,20397,OH,PSA Airlines Inc.,PSA Airlines Inc.,07028,D,2019,2
5470.34,11666.54,165716.89,5652.63,6366.12,1769.06,1989.54,11169.71,192812.35,69818.96,21726.72,20629.26,23358.39,18665.53,9707.67,1347.59,181145.82,11208.96,19690,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,15375,P,2019,4
6007,7901,56786,-180,3097,1593,0,0,61428,22664,5010,5480,9411,4589,2803,0,53527,7738,19930,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,16031,L,2019,3
6159,8867,72463,-118,3760,2304,0,0,78528,30923,6685,7086,10380,5953,3712,0,69661,8260,19930,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,16031,L,2019,2
6729.12,10536.53,56629.65,0,21127.56,1716.46,23003.61,218.25,102695.53,46935.96,5817.33,5329.54,7929.02,15773.76,6087.12,0,92159,8649.73,20416,NK,Spirit Air Lines,Spirit Air Lines,16831,L,2019,1
7541.68,9635.81,20019.14,0,2947.43,278.28,551,4015.32,27811.18,13684.69,812.74,1014.84,2521.69,-306.99,143.53,0,18175.36,9721.03,20436,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,16461,L,2019,4
7614,16948,111489,4,0,0,269,0,111762,17811,26894,6945,5967,17432,19765,0,94814,10116,19687,QX,Horizon Air,Horizon Air,06580,D,2019,2
7929.68,11041.38,197469.48,0,0,0,0.69,0,197470.17,104288.82,44590.5,12916.03,6656.22,13544.9,4432.32,0,186428.79,10455.49,20397,OH,PSA Airlines Inc.,PSA Airlines Inc.,07028,D,2019,1
8411.18,10954.72,322367.52,0,0.2,0,104.99,23.51,322496.21,110799.61,61634.92,14615.87,74630.81,44722.86,5051.91,7.38,311541.49,11088.11,20398,MQ,Envoy Air,Envoy Air,06820,D,2019,1
8446.3,12960.89,54458.11,0,20458.95,1602.03,24151.94,189.88,100860.9,44044.44,6262.96,5000.57,7727.29,14443.79,6438.94,0,87900.01,11103.37,20416,NK,Spirit Air Lines,Spirit Air Lines,16831,L,2019,4
9150.01,12023.45,340786.14,0,0,0,136.65,22.23,340945.02,115339.46,70009.27,15070.6,76197.38,46989.63,5166.91,14.45,328921.58,12131.66,20398,MQ,Envoy Air,Envoy Air,06820,D,2019,2
9347.96,13964.37,61840.2,0,21400.07,1904.65,25747.82,207.63,111100.37,47619.82,6171.85,5574.59,8314.6,18605.48,6463.87,0,97136,12209.4,20416,NK,Spirit Air Lines,Spirit Air Lines,16831,L,2019,3
9386,19891,116523,4,0,0,355,0,116881,18631,24240,7603,7088,15664,23764,0,96991,12161,19687,QX,Horizon Air,Horizon Air,06580,D,2019,1
9416,18657,112537,4,0,0,233,0,112774,18687,25714,7204,5597,17686,19230,0,94117,11910,19687,QX,Horizon Air,Horizon Air,06580,D,2019,3
9913.23,10756.23,46646.87,0,3704.98,260.68,21.92,1043.67,55483.9,19432.26,4278.81,2698.79,8021.71,4210.38,2100.72,223.24,44727.67,9913.23,20422,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,16795,L,2019,1
10063.14,12940.46,20963.94,0,3213.53,337.62,242.67,4170.01,28927.77,9880.44,905.42,953.83,3002.99,587.25,87.2,0,15987.32,13007.22,20436,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,16461,L,2019,3
10724.78,13861.56,31067.35,0,4288.18,509.37,384.5,7963.26,44212.65,20768.01,1227.68,1509.93,5314.38,-102.72,147.77,0,30351.09,13937.49,20436,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,16461,L,2019,2
10964.54,14055.49,38019.35,0,2383.46,261.81,-23.53,5203.28,45844.38,22736.1,785.51,1765.62,5548.79,126.11,111.48,0,31788.89,14180.14,20436,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,16461,L,2019,1
10991.89,19508.01,361785.79,4.95,20261.14,10761.69,1425.8,17747.62,411986.99,168174.35,43979.65,33648.69,69602.31,26110.32,27843.42,79.85,392478.98,15323.3,20409,B6,JetBlue Airways,JetBlue Airways,16673,L,2019,1
12117,15805,141860,1323,376,0,16277,1123,161170,57975,17051,12474,27660,11978,9277,1016,145365,15765,19393,WN,Southwest Airlines Co.,Southwest Airlines Co.,11033,L,2019,1
13407,17347,132823,1131,313,0,14286,908,149534,53480,14163,11384,25118,11739,8151,806,132187,17388,19393,WN,Southwest Airlines Co.,Southwest Airlines Co.,11033,L,2019,4
13854.66,19836.54,69701.11,0,23584.73,1961.42,27049.96,270.45,122567.66,52987.51,6314.36,5735.71,8351.3,17784.92,6644.46,0,102731.12,17976.86,20416,NK,Spirit Air Lines,Spirit Air Lines,16831,L,2019,2
14611.94,56928.8,1066315.98,103134.75,36141.95,21054.53,342.13,60310.19,1306504.04,523761.53,78964.19,162234.4,157051.62,120994.89,97977.37,17308.67,1249575.24,18804.68,19977,UA,United Air Lines Inc.,United Air Lines Inc.,10877,P,2019,2
15074.12,27106.73,169747.42,0,0,0,0,0,169747.42,46703.43,55489.08,8228.58,982.57,12451.96,18784.55,0,142640.69,15074.12,20378,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,06689,D,2019,4
15134.75,34083.21,305701.67,0,0,0,3887.36,0,309589.04,84641.75,89347.37,25205.62,4019.92,22367.83,49923.33,0,275505.83,20383.6,20452,YX,Republic Airline,Republic Airline,06003,D,2019,1
15616,19423,119003,994,309,0,12476,845,133663,45941,13342,9720,21822,9093,6792,750,114240,19407,19393,WN,Southwest Airlines Co.,Southwest Airlines Co.,11033,L,2019,3
16088.28,16512.17,258769.34,0,89005.31,9776.91,1329.99,141857.2,500738.76,296251.42,22326.74,44685.57,75610.62,5880.57,12889.03,0,484226.59,20806.53,20436,F9,Frontier Airlines Inc.,Frontier Airlines Inc.,06460,D,2019,1
