year,quarter,month,airline_id,unique_carrier,unique_carrier_name,unique_carrier_entity,region,carrier_name,service_class,rev_pax_enp_110,rev_pax_miles_140,rev_pax_miles_first,rev_ton_miles_240,rev_ton_miles_freight_247,rev_ton_miles_pax_241,avl_ton_miles_280,avl_seat_miles_320,avl_seat_miles_first,rev_acrft_miles_flown_410,rev_acrft_miles_sch_430,rev_acrft_dep_perf_510,rev_acrft_hrs_airborne_610
2019,4,12,19687,QX,Horizon Air,06580,D,Horizon Air,F,723137,298290520,298290520,29910529,53845,29829052,43832173,356403672,356403672,4689522,4884633,11515,13522
2019,1,1,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2546451,3096962601,3096962601,309696260,0,309696260,482959298,3833677714,3833677714,25958182,26900959,23305,58947
2019,1,2,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2496709,3072597543,3072597543,307259754,0,307259754,465749656,3701023827,3701023827,25055642,25055642,22134,56936
2019,1,3,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2987333,3658881587,3658881587,365888159,0,365888159,531140836,4231048785,4231048785,28546879,28880347,25387,64634
2019,2,4,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2910525,3552644196,3552644196,355264420,0,355264420,520699875,4148003198,4148003198,28026274,28299931,24837,63495
2019,2,5,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2937390,3597841736,3597841736,359784174,0,359784174,516694639,4120927994,4120927994,27720110,27762314,24982,62445
2019,2,6,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2868781,3552019844,3552019844,355201984,0,355201984,501482407,3997724272,3997724272,26903312,26972066,24333,60532
2019,3,7,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2887779,3576990992,3576990992,357699099,0,357699099,501785177,3997782284,3997782284,26919401,27218764,24347,60094
2019,3,8,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2942779,3626662837,3626662837,362666284,0,362666284,475395170,4166200082,4166200082,27943316,28112192,25371,62547
2019,3,9,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2578149,3177635571,3177635571,317763557,0,317763557,486857274,3875330249,3875330249,25941466,26438611,23694,57697
2019,4,10,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2829931,3481111679,3481111679,348111168,0,348111168,515599895,4136905800,4136905800,27501701,27553099,24857,61357
2019,4,11,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2755399,3398143006,3398143006,339858764,44463,339814301,518394217,4174753906,4174753906,27745561,27744285,24742,62288
2019,4,12,20409,B6,JetBlue Airways,06673,D,JetBlue Airways,F,2875364,3570990514,3570990514,357173300,74249,357099051,531628542,4290444454,4290444454,28422579,30376659,25106,64193
2019,1,1,20378,YV,Mesa Airlines Inc.,06689,D,Mesa Airlines Inc.,F,1042150,620939924,620939924,62100290,4711,62093992,98965494,795211514,795211514,10431878,10581456,17935,25866
2019,1,2,20378,YV,Mesa Airlines Inc.,06689,D,Mesa Airlines Inc.,F,964774,565291351,565291351,56534478,3220,56529135,87274767,700997137,700997137,9202961,9417225,16003,23125
2019,1,3,20378,YV,Mesa Airlines Inc.,06689,D,Mesa Airlines Inc.,F,1161483,677552453,677552453,67767568,4418,67755245,100255684,804376992,804376992,10561402,10745945,18445,26322
2019,2,4,20378,YV,Mesa Airlines Inc.,06689,D,Mesa Airlines Inc.,F,1084544,648024531,648024531,64807739,2067,64802453,98397213,789720922,789720922,10373998,10551395,17746,25768
2019,2,5,20378,YV,Mesa Airlines Inc.,06689,D,Mesa Airlines Inc.,F,1178093,687465203,687465203,68755635,2933,68746520,101750442,815299163,815299163,10703314,11050248,18649,26606
2019,2,6,20378,YV,Mesa Airlines Inc.,06689,D,Mesa Airlines Inc.,F,1203318,686148595,686148595,68622494,4658,68614860,100115939,802872615,802872615,10541546,10967900,18889,26085
2019,3,7,20378,YV,Mesa Airlines Inc.,06689,D,Mesa Airlines Inc.,F,1239579,714921744,714921744,71520278,9775,71492174,104614124,839351767,839351767,11007301,11222823,19513,26789
2019,3,8,20378,YV,Mesa Airlines Inc.,06689,D,Mesa Airlines Inc.,F,1165939,673331345,673331345,67343847,7113,67333135,104059884,835220187,835220187,10961985,11243315,19413,26744
